number_of_jobs,mean_energy_qpu_kwh,mean_energy_cpu_kwh,mean_energy_total_kwh,std_energy_qpu_kwh,std_energy_cpu_kwh,std_energy_total_kwh,mean_cost_per_job,std_cost_per_job,median_cost_per_job,p95_cost_per_job,mean_phi_qpu,mean_phi_cpu,std_phi_qpu,std_phi_cpu,mean_qpu_time_s,mean_cpu_time_s,std_qpu_time_s,std_cpu_time_s,p95_qpu_time_s,p95_cpu_time_s,mean_qpu_wait_s,mean_cpu_wait_s,mean_wait_total_s,std_qpu_wait_s,std_cpu_wait_s,std_wait_total_s,p95_wait_total_s,mean_job_turnaround_s,std_job_turnaround_s,median_job_turnaround_s,p95_job_turnaround_s,mean_turn_total_s,std_turn_total_s,p95_turn_total_s,mean_wait_fraction,std_wait_fraction,p95_wait_fraction,iterations,workload_csv
3000,0,0.0006437,0.0006437,0,0.000202453,0.000202453,0.000118233,3.861833779730677e-05,0.0001,0.0002,0,1,0,0,0,1.2427331333333336,0,0.20002026386719257,0,1.5664099999999999,0,0,0,0,0,0,0,1.2426970333333331,0.2000035284647039,1.247,1.5663349999999998,1.2427331333333334,0.20002026386719257,1.5664099999999999,0,0,0,3,synth_job_batches/3000-job_iter_3.csv
3000,0,0.001960667,0.001960667,0,0.000382546,0.000382546,0.000353067,7.402086587634518e-05,0.0004,0.0005,0,1,0,0,0,2.4835211,0,0.292916316,0,2.963399999999999,0,0,0,0,0,0,0,2.483485,0.29291023261366217,2.4889,2.9637599999999993,2.4835211,0.29291631555917713,2.963399999999999,0,0,0,6,synth_job_batches/3000-job_iter_6.csv
3000,0,0.002634867,0.002634867,0,0.000445463,0.000445463,0.000474667,8.540484110702878e-05,0.0005,0.0006,0,1,0,0,0,3.7266740000000005,0,0.35602218420001197,0,4.305009999999999,0,0,0,0,0,0,0,3.7266379000000005,0.3560114855912388,3.7311,4.301064999999998,3.7266740000000005,0.35602218420001197,4.305009999999999,0,0,0,9,synth_job_batches/3000-job_iter_9.csv
3000,0,0.003958767,0.003958767,0,0.000572217,0.000572217,0.000712067,0.000106637,0.0007,0.0009,0,1,0,0,0,4.9579406,0,0.411774947,0,5.638,0,0,0,0,0,0,0,4.957904500000001,0.4117563007655821,4.95425,5.63765,4.9579406,0.4117749473285001,5.638,0,0,0,12,synth_job_batches/3000-job_iter_12.csv
3000,0,0.004613433,0.004613433,0,0.000627865,0.000627865,0.000829867,0.000116758,0.0008,0.001,0,1,0,0,0,6.199261933333332,0,0.45736534850335986,0,6.950239999999999,0,0,0,0,0,0,0,6.199225833333332,0.457362292,6.2022,6.948815000000001,6.199261933333332,0.45736534850335986,6.95024,0,0,0,15,synth_job_batches/3000-job_iter_15.csv
3000,0,0.005940633,0.005940633,0,0.000701092,0.000701092,0.0010691,0.000129412,0.0011,0.0013,0,1,0,0,0,7.440262733333333,0,0.5049486353475051,0,8.274135000000001,0,0,0,0,0,0,0,7.440559966666666,0.5048584214898756,7.4333,8.27431,7.440262733333334,0.504948635,8.274135,0,0,0,18,synth_job_batches/3000-job_iter_18.csv
3000,0,0.006587233,0.006587233,0,0.000737809,0.000737809,0.0011869,0.000135933,0.0012,0.0014,0,1,0,0,0,8.674529099999999,0,0.5485218903239673,0,9.587805,0,0,0,0,0,0,0,8.676826333333333,0.5540390108904053,8.66055,9.59094,8.674529099999999,0.5485218903239673,9.587805,0,0,0,21,synth_job_batches/3000-job_iter_21.csv
