job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
2433,0.0,0.0021,0.0021,0.0004,0.0,1.0,0.0,3.3715,0.0,0.0,0.0,0.0,3.3715,3.3715,3.3676
2434,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,3.0324,0.0,0.0,0.0,0.0,3.0324000000000004,3.0324000000000004,3.0298
2435,0.0,0.0016,0.0016,0.0003,0.0,1.0,0.0,2.9039,0.0,0.0,0.0,0.0,2.9038999999999997,2.9038999999999997,2.9082
2436,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.3115,0.0,0.0,0.0,0.0,3.3114999999999997,3.3114999999999997,3.3115
2437,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,4.5376,0.0,0.0,0.0,0.0,4.537599999999999,4.537599999999999,4.5366
2438,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.3055,0.0,0.0,0.0,0.0,3.3055000000000003,3.3055000000000003,3.3068
2439,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,3.5157,0.0,0.0,0.0,0.0,3.5157,3.5157,3.5174
2440,0.0,0.0035,0.0035,0.0006,0.0,1.0,0.0,4.1066,0.0,0.0,0.0,0.0,4.1066,4.1066,4.1039
2441,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.8736,0.0,0.0,0.0,0.0,3.8735999999999997,3.8735999999999997,3.8686
2442,0.0,0.0025,0.0025,0.0005,0.0,1.0,0.0,3.6465,0.0,0.0,0.0,0.0,3.6465,3.6465,3.6489
2443,0.0,0.0034,0.0034,0.0006,0.0,1.0,0.0,3.3109,0.0,0.0,0.0,0.0,3.3109,3.3109,3.3087
2444,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,4.002,0.0,0.0,0.0,0.0,4.002000000000001,4.002000000000001,3.9994
2445,0.0,0.0017,0.0017,0.0003,0.0,1.0,0.0,2.8078,0.0,0.0,0.0,0.0,2.8078,2.8078,2.805
2446,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.7851,0.0,0.0,0.0,0.0,3.7851,3.7851,3.7851
2447,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,3.4042,0.0,0.0,0.0,0.0,3.4042000000000003,3.4042000000000003,3.4072
2448,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.5222,0.0,0.0,0.0,0.0,3.5222,3.5222,3.5248
2449,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.714,0.0,0.0,0.0,0.0,3.7139999999999995,3.7139999999999995,3.7126
2450,0.0,0.0031,0.0031,0.0006,0.0,1.0,0.0,3.9227,0.0,0.0,0.0,0.0,3.9227,3.9227,3.924
2451,0.0,0.0017,0.0017,0.0003,0.0,1.0,0.0,3.0869,0.0,0.0,0.0,0.0,3.0869000000000004,3.0869000000000004,3.0913
2452,0.0,0.0033,0.0033,0.0006,0.0,1.0,0.0,3.9446,0.0,0.0,0.0,0.0,3.9446,3.9446,3.9486
