number_of_jobs,mean_energy_qpu_kwh,mean_energy_cpu_kwh,mean_energy_total_kwh,std_energy_qpu_kwh,std_energy_cpu_kwh,std_energy_total_kwh,mean_cost_per_job,std_cost_per_job,median_cost_per_job,p95_cost_per_job,mean_phi_qpu,mean_phi_cpu,std_phi_qpu,std_phi_cpu,mean_qpu_time_s,mean_cpu_time_s,std_qpu_time_s,std_cpu_time_s,p95_qpu_time_s,p95_cpu_time_s,mean_qpu_wait_s,mean_cpu_wait_s,mean_wait_total_s,std_qpu_wait_s,std_cpu_wait_s,std_wait_total_s,p95_wait_total_s,mean_job_turnaround_s,std_job_turnaround_s,median_job_turnaround_s,p95_job_turnaround_s,mean_turn_total_s,std_turn_total_s,p95_turn_total_s,mean_wait_fraction,std_wait_fraction,p95_wait_fraction,iterations,workload_csv
3000,0.0,0.0006373333333333334,0.0006373333333333334,0.0,0.00020106308548231849,0.00020106308548231849,0.00011653333333333338,3.715430486065891e-05,0.0001,0.0002,0.0,1.0,0.0,0.0,0.0,1.2354805666666668,0.0,0.20704754626530522,0.0,1.582515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2354444666666669,0.2070862541589923,1.23785,1.5810599999999997,1.2354805666666668,0.20704754626530522,1.582515,0.0,0.0,0.0,3,synth_job_batches/3000-job_iter_3.csv
3000,0.0,0.0019545666666666668,0.0019545666666666668,0.0,0.00039030320404259754,0.00039030320404259754,0.0003526,7.625731697875032e-05,0.0004,0.0005,0.0,1.0,0.0,0.0,0.0,2.4778800333333337,0.0,0.29317183860945806,0.0,2.9515499999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4778439333333333,0.2932361350973612,2.4764999999999997,2.9547299999999996,2.4778800333333337,0.29317183860945806,2.9515499999999992,0.0,0.0,0.0,6,synth_job_batches/3000-job_iter_6.csv
3000,0.0,0.002627033333333333,0.002627033333333333,0.0,0.00045017043071980385,0.00045017043071980385,0.00047306666666666665,8.639299820549811e-05,0.0005,0.0006,0.0,1.0,0.0,0.0,0.0,3.716538933333333,0.0,0.35281070551903393,0.0,4.2991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.716502833333333,0.35280496136282763,3.71485,4.298035,3.716538933333333,0.35281070551903393,4.2991,0.0,0.0,0.0,9,synth_job_batches/3000-job_iter_9.csv
3000,0.0,0.003962466666666667,0.003962466666666667,0.0,0.0005632201948482054,0.0005632201948482054,0.0007131,0.00010602894594933206,0.0007,0.0009,0.0,1.0,0.0,0.0,0.0,4.955531666666667,0.0,0.4195031850152847,0.0,5.648314999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9554955666666665,0.4195227133215512,4.9539,5.649184999999999,4.955531666666667,0.4195031850152847,5.648314999999999,0.0,0.0,0.0,12,synth_job_batches/3000-job_iter_12.csv
3000,0.0,0.004613133333333333,0.004613133333333333,0.0,0.0006215702953806502,0.0006215702953806502,0.0008305000000000001,0.00011574778262697312,0.0008,0.001,0.0,1.0,0.0,0.0,0.0,6.1891004333333335,0.0,0.46330926410755213,0.0,6.938815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1890643333333335,0.46336843225367147,6.193,6.938545,6.1891004333333335,0.46330926410755213,6.938815000000001,0.0,0.0,0.0,15,synth_job_batches/3000-job_iter_15.csv
3000,0.0,0.005934266666666667,0.005934266666666667,0.0,0.0007029394261488683,0.0007029394261488683,0.0010682666666666668,0.00012971226096931163,0.0011,0.0013,0.0,1.0,0.0,0.0,0.0,7.419696500000001,0.0,0.5076976201397657,0.0,8.24769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4201604,0.508543724641055,7.42065,8.25382,7.419696500000001,0.5076976201397657,8.24769,0.0,0.0,0.0,18,synth_job_batches/3000-job_iter_18.csv
3000,0.0,0.006591199999999999,0.006591199999999999,0.0,0.000754510208823185,0.000754510208823185,0.0011864666666666665,0.0001389122544163445,0.0012,0.0014,0.0,1.0,0.0,0.0,0.0,8.6629858,0.0,0.5514862242252264,0.0,9.56255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6649497,0.5522127202954148,8.6691,9.567074999999999,8.6629858,0.5514862242252264,9.56255,0.0,0.0,0.0,21,synth_job_batches/3000-job_iter_21.csv
