number_of_jobs,mean_energy_qpu_kwh,mean_energy_cpu_kwh,mean_energy_total_kwh,std_energy_qpu_kwh,std_energy_cpu_kwh,std_energy_total_kwh,mean_cost_per_job,median_cost_per_job,p95_cost_per_job,mean_phi_qpu,mean_phi_cpu,electricity_price_per_kwh
5000,0.14856338,0.00330126,0.15186414,0.07541666863338062,0.001037653004212595,0.0759509625074071,0.0075923200000000005,0.0068,0.0148,0.9736395883750356,0.026371773000209396,0.05
5000,0.14923044,0.0032986400000000003,0.15252794,0.07599921324256685,0.001050700216326669,0.07654260807894314,0.015253039999999999,0.0138,0.0297,0.9737834095741222,0.026233292361219702,0.1
5000,0.14901876,0.00329656,0.15231382,0.07574469671124434,0.0010523220242532921,0.07628963067519276,0.0228466,0.0206,0.04460500000000002,0.973767483901681,0.02625299410605213,0.15
5000,0.14887398,0.00329056,0.15216493999999997,0.07541196142353504,0.0010531366035520429,0.07595624176411708,0.0304332,0.0275,0.0596,0.9738294003223418,0.026173877960317997,0.2
5000,0.14888202,0.00329268,0.15217224000000001,0.07517802709483118,0.0010445844383915426,0.07571890028093613,0.038043,0.0344,0.0741,0.9738327610495928,0.02619060931242542,0.25
5000,0.14900555999999998,0.00330486,0.15230956,0.07536548305619503,0.001055811217910465,0.07590502794452972,0.04569234,0.0411,0.08940500000000001,0.973768875020178,0.026246856876255602,0.3
5000,0.14909412,0.0032962199999999994,0.15238971999999998,0.07564264958019845,0.0010513100219024126,0.07617875004693463,0.053336,0.048,0.1036,0.9737791964650049,0.026239701388749925,0.35
